Gene symbol	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)
CCR7	1939.045683	3811.326733	14223.15516	290.530233	647.9636327	328.1949289	17366.91051	123.7463123	81.24584846	66.65895255	165.2353496	482.4429323	672.4665585	376.1557339	202.9261759	2885.120974	2693.556404	8788.597127	5074.201816	1858.531026	490.8051753	6339.949771
CD69	5037.059721	8246.962733	69.45698718	39.31238934	6363.149838	31.65121441	59.02137051	28.81247015	1484.634024	440.3983738	66.10288756	5471.704926	1781.265844	436.4221698	131.1507128	1071.887678	5489.202469	4397.041606	3798.407191	6081.160743	4572.324665	539.3938343
PTGER2	20.49640288	47.37880726	826.8557439	584.1241872	501.0228289	619.1628375	170.3953887	1754.337137	892.0718245	460.4294121	1154.310555	5770.127086	2983.001501	183.6977894	21.50099156	1056.864994	4236.414392	258.841965	2260.804067	14.85589132	2957.932915	2608.201318
DPP4	16.56719599	19.45168576	138.2117037	11.79647193	18.57167619	17.52701962	175.6975199	32.80967907	25.76939706	68.77332318	19.65506451	391.9641115	43.07303297	19.5766283	15.7816761	892.3150761	1042.227242	689.9495562	686.98687	22.53108052	383.7055093	866.5973448
GPR25	29.42735453	4.292572754	4.701007424	11.76229619	18.26386402	8.494154594	27.36083709	14.41666747	15.84215873	22.81784638	14.04592183	21.43533197	11.1673751	16.9118569	141.0660169	12.75467855	138.1919025	10.77863651	28.7191378	21.82778451	10.93345478	41.74363822
IL18RAP	45.38600163	63.16533501	89.09515062	88.07756471	1797.696657	93.75421468	24.97523206	38.64095647	362.4767389	239.2744548	92.02184739	5732.166309	6172.262928	2653.493356	22.92310159	367.9599908	275.2312246	83.75974388	541.6070596	101.4843406	4488.262918	113.0686831
P2RY14	196.0477382	1638.857158	24.7275648	214.7529288	9767.658851	7.681017154	21.35853068	852.5563739	1476.439279	2202.531209	51.7107481	215.2283477	214.6448472	1604.23718	30.69853755	76.77594259	75.4038863	63.19960659	154.8611784	33.74435445	512.624542	102.9533339
GNG7	1494.305763	768.0078466	70.79123977	187.5124462	197.7715925	82.41009583	94.49057817	243.4861493	115.3507975	170.2524464	112.449475	53.08765217	60.45334031	455.4134725	2218.049204	75.96955929	104.2562884	99.42210121	133.5514698	63.64624142	51.82499254	214.2818797
PDPK1	24.86674344	32.80967907	22.47364617	96.83583568	571.5173059	126.8741645	131.2576257	121.9445976	30.15639337	23.67746813	25.63097887	37.96319899	32.92518869	43.65251141	1399.416902	170.8986502	121.1522918	518.4525497	231.2949243	117.2961766	23.37025579	486.7488725
CCL19	139.7443318	78.52160611	3048.871233	170.8471166	152.8012995	114.3667988	32553.88074	137.0742038	19.15243809	38.04867174	115.5525527	146.4600699	109.9231796	117.2636391	258.1016824	89.77834495	60.92923205	36.87140683	77.62297831	48.98562369	21.17848138	34.99339888
P2RY13	35.59674022	9.195676707	8.194297426	25.78957652	1447.836993	120.6493256	473.3335035	2965.888162	60.88154521	43.78982454	2786.279688	13.81492461	76.92819841	4885.264485	8.020483187	7.274663001	6.469992914	7.357242825	7.470609935	6.982740503	233.2139703	10.2025435
NLRP3	20.53269856	22.14183418	19.68892684	310.2780778	68.36800786	32.50574568	37.67910545	322.0620463	423.0729418	26.84988325	636.6292677	88.89574256	44.60257144	478.8774821	15.37842878	14.17835244	48.05321317	18.45676256	15.30576169	11.65755142	51.58523231	28.04117893
CD7	17.28012062	15.62904812	22.00857195	27.07256267	48.57212298	16.0113349	13.36812571	80.61769372	20.04765141	12.17345488	20.48373388	2106.83981	1666.682281	25.19240764	18.02258618	1271.833268	1507.773715	2032.402798	2234.707961	2132.53501	415.8325753	7917.977191
CD8A	348.1087905	564.4780916	163.4447696	176.6671569	176.3456177	135.9847653	45.89341104	63.47614462	102.8346227	87.086495	203.576442	1190.400365	959.5951565	623.2298556	44.21285974	161.1817391	147.1712529	41.07506248	9990.737125	172.4731305	1127.953469	80.70305906
ADRB2	510.0813396	486.3438163	82.9116614	175.6334734	1969.028818	143.0178779	787.6239741	363.1850058	2887.874236	4628.681578	664.8839501	2360.471299	1957.53925	735.6634863	289.7984504	142.8319114	595.2105488	77.15395496	899.6485015	97.17422647	2378.452129	217.0627702
GZMK	278.1808222	184.0395826	81.98912286	79.45607344	151.2474716	69.54165218	107.0724606	24.66700128	76.14236186	38.19756342	67.13748264	233.6749633	1967.19369	421.2121304	100.8148697	187.7181578	3724.329794	1423.65694	8814.387272	119.8476496	15903.70006	51.85294841
IL21	299.7702438	346.0439646	62.52092002	78.1233779	93.38643807	83.58872184	59.64008096	42.67287335	60.01519603	96.13005298	103.5720427	68.0390322	38.68027919	201.0983497	161.7246112	333.1909722	81.58442785	21.34280658	59.42001123	1466.934174	87.99639559	42.0591226
P2RY10	348.9025998	436.5800269	142.7074755	5.340759621	1812.068581	11.36968834	20.4848163	16.64319163	59.53712782	27.33260384	20.95780349	207.4981375	236.9914349	350.0244998	408.3799473	293.2102273	516.3687437	340.8834245	319.1050423	313.2896621	107.4410957	931.7085834
LHCGR	195.3792191	154.6890469	21.31678215	20.63736847	51.25024965	31.7588928	23.03809769	22.03161941	22.23624099	31.75279947	11.47012114	26.06781415	21.7148195	82.91574196	59.39944184	5.598819437	8.255798098	24.46628657	9.897454754	9.419742658	126.933563	139.0898849
PDCD1	124.685259	103.8732743	122.1858671	111.798525	223.7380224	114.2409952	134.5949207	133.0710845	95.2768144	130.332615	153.2622842	122.4494002	128.5338061	277.5988266	105.4403669	234.7672258	149.0261337	130.6987203	153.8622347	2598.761593	208.0893621	263.9482706
TNFRSF17	247.609295	22.5997525	17.5240948	10.59179267	20.98966863	10.59143865	9.409205288	13.52425156	6.534182401	7.227678736	10.1098504	8.910362721	12.50971798	9.35211403	7744.01596	7.947610014	13.44126834	4.347662735	13.81523144	7.855308418	10.04246187	41.18335555
MAP4K1	923.4585215	48.65001463	23.10683533	58.98386899	272.9729346	25.60814698	31.1038533	367.2710553	310.297677	361.741886	317.9668785	451.4493332	747.3149188	35.18234699	201.4645711	1231.701055	1387.561664	2431.498593	1721.22046	4278.451524	1550.102008	2031.177327
SLC12A8	8.434874182	7.225818568	52.24193196	37.95714189	107.0092016	466.0589582	24.5564624	25.3393543	581.4055879	447.9225018	11.98809147	18.06584929	10.14791696	13.16312363	52.06339581	9.306658239	3.740216058	11.19206299	14.91996119	34.82375423	7.503468941	48.42252291
BCL11B	133.7136259	166.5812991	76.4604343	95.81819269	306.9880201	78.00838097	68.0390322	51.07857308	52.15823403	53.86480939	88.02675109	512.27635	818.2107999	166.8927472	149.8210195	842.2142194	4962.937555	7177.230404	4183.738789	3186.537019	2581.692496	2748.114787
CD27	4138.587476	388.8197482	111.9872056	125.1576644	468.4975465	90.85495783	137.4401366	136.436149	89.47064836	123.9116687	136.4091916	127.3316351	196.4705551	300.1045211	7350.586942	1125.960048	4188.175594	4042.377012	5506.313911	5710.976341	2288.252945	6979.725316
KIR2DL4	242.5966898	331.7763894	151.8311567	110.773487	187.147452	99.74347628	300.0125058	75.07815363	116.9912535	97.22199641	128.8246048	1692.521387	602.9726262	282.8093	326.5656738	62.54142777	79.00529624	125.3243228	122.2246008	71.00293957	247.0446849	119.6110333
GZMB	68.32230989	102.255299	82.17563279	30.67820522	226.9706864	136.87295	159.2974346	111.0281937	5600.547397	947.0769465	61.71915165	23235.35012	15276.85279	154.330993	62.71521001	21960.79819	58.9177582	85.36127082	2080.697741	64.03542312	6018.578754	53.64876826
IL18R1	56.21530515	32.74521328	21.814318	22.9410599	1494.967961	19.54166867	7.9840431	32.56301861	2220.298354	1442.746463	19.50301241	1084.441173	829.4466231	516.0935366	34.90083093	400.3612339	243.8532814	73.22426678	197.574303	119.2372786	1022.471148	512.4917243
CD40LG	51.83259142	65.37231327	16.89038862	20.16451827	36.42693635	29.86059304	26.39060217	32.06615205	21.43431914	15.73172412	24.75213495	52.25679554	29.30316525	51.29818379	34.65893963	660.7418675	852.1721059	464.1789801	186.4853205	809.450384	449.7694466	31.04806788
CCL1	10.41823708	9.151450435	366.165883	10.50372943	9.884652732	12.30972478	13.39276407	10.20717886	1266.591321	7.259316561	11.12331494	29.60547378	11.53343942	9.407691897	10.05715446	15.97030854	9.669430796	22.5839555	10.7845404	12.61652384	11.24956199	9.104707458
MEP1A	391.2004498	939.6261506	321.8834531	186.6180666	257.5044339	171.9329356	25.48235387	66.46616213	96.70274469	25.29772111	98.26125945	89.41077945	85.62849683	165.3704727	222.3862967	43.13043305	141.2290524	22.42983417	54.17625589	54.92226784	136.1749837	169.5472888
NCR3	792.8512873	152.0118385	33.09868234	86.33580407	146.729649	30.83325447	105.9964013	55.94701428	83.51655348	96.4754312	56.94572009	3218.191907	1482.733424	223.2727212	42.58445228	407.2225704	411.610723	250.1023415	1756.075472	201.4043697	1859.555439	669.2181531
CD3E	756.7993492	1233.172359	276.20651	195.4486787	425.8648102	188.3816952	172.5351641	175.317922	129.5942842	144.3993653	225.2808846	342.1231155	461.7145711	809.110134	1163.254876	2850.795927	6370.192958	3554.437369	5787.182458	2993.594839	1748.883874	5302.45403
IL9	42.70618828	60.05830259	34.55584304	31.51470707	56.79210664	22.74633599	28.83176888	10.07084824	15.58698236	4.125140757	15.74553195	31.82797542	45.8168679	24.3295572	16.73521702	6525.444386	89.90011254	31.36207011	43.06562332	46.35002341	47.46140523	15.37426695
KYNU	573.2552275	296.2994306	7308.577846	1973.598471	62.48037948	3089.346164	6316.573655	1059.119128	327.6913744	132.0617598	858.7450615	66.70647411	70.07148215	100.1093538	97.42434599	27.37818895	39.20610994	41.3563524	45.94858696	22.74378501	117.085962	128.3281017
GPR183	2308.149818	275.8348106	1945.433337	437.8462334	5121.174533	437.1733508	1631.804333	2474.434424	795.5512127	303.5641536	196.979149	201.5996553	216.2351844	144.0671927	296.6071048	2265.096641	3012.768061	854.0807595	630.5280037	965.2070375	475.9389405	454.3725611
CD70	647.9228093	294.6566184	705.6011675	163.5181238	280.4419984	162.091307	365.3486293	116.8363113	115.0885118	205.9889771	189.6644237	186.4718703	226.6449338	309.3411047	528.1256069	388.2749858	266.2959935	116.5526077	247.6214563	214.2359544	301.4293391	1999.95277
P2RX1	37.90926885	161.7246112	57.63014286	162.158759	1302.716482	198.6785267	134.6490049	356.2137024	2193.457858	2865.596717	686.8592062	137.761379	133.7653785	1169.401245	36.61226829	110.7662487	119.891114	168.4091537	180.7978777	142.8858929	184.552453	70.45015588
CD79A	9835.923	12117.94539	189.639752	138.9136781	511.4149111	124.5658582	108.8170218	63.57950923	118.775806	61.91581828	174.974517	139.2030869	149.4947867	261.960019	3860.541888	97.84605147	161.6033691	183.3771612	425.4456431	437.0541054	196.7666923	424.1217962
GZMA	217.1903236	204.958358	128.6984558	93.29389844	150.5888289	95.37711154	109.7080589	68.0390322	68.27005989	50.07477091	132.0433731	22380.29444	13660.47953	334.8696127	91.85142742	1173.96483	4034.52042	440.9534741	6301.839315	130.7405303	14188.10221	318.1893547
P2RY2	13.6018949	11.65755142	14.59353766	10.69402254	944.4078498	86.58027686	11.44146222	9.463569762	89.76543076	14.46354526	172.1808803	11.91498962	14.83438983	20.46490608	9.903062667	13.35591205	11.41545947	11.66918119	14.97257129	20.63255455	12.42139783	10.1169561
CD28	183.9284292	170.6541081	66.03630917	87.37183838	89.18080942	62.22720273	64.48080982	207.2614073	75.16641	62.4258293	79.14901833	71.78378935	77.96041968	177.5405702	145.7577865	2294.871098	961.774233	462.9998637	527.4027958	1326.705724	524.1543544	1614.199583
SOCS1	25.09172222	27.14793524	398.8444411	103.7199643	52.27131121	82.36571476	2300.259226	705.1354113	59.60816677	50.34356835	20.71591309	1230.201795	49.70265419	31.69383195	16.85549775	1034.179076	117.8166952	64.4438491	160.8027185	255.1479692	80.88085602	604.6602261
AIM2	4538.991046	327.9580556	907.0399616	176.9615884	117.5077056	181.9571	2965.888162	148.2845223	62.12545422	93.47144882	536.1118999	134.4958651	87.22742351	794.2145572	1429.674088	3311.978393	250.2995803	57.08079673	294.4846139	1115.681612	407.592905	315.6458748
TRAT1	15.98508028	13.5847049	29.29706627	10.65205619	193.0502207	13.33976249	6.319098182	4.273621867	35.53946833	33.59153566	6.845897848	41.18448661	25.38745132	10.38229418	17.40314684	1616.337428	2578.359018	2327.160635	816.7413233	1427.702674	1435.573943	448.2961522
PNOC	4255.796399	4198.527432	98.82686845	68.46161307	156.274342	93.57509016	42.98994774	92.99539565	105.3515894	62.52678004	230.8474814	78.13755037	65.36645851	269.3613294	3031.838783	83.02319643	65.69416471	64.69325183	88.67789621	22.1078749	192.0353994	82.8028802
CXCR6	137.922284	143.966553	93.76432338	61.54906754	86.73337152	60.50454252	68.56018671	56.08489855	53.14506673	58.16905397	89.88376184	139.1507517	175.2851029	166.6014244	129.4184927	1140.294509	190.1248095	92.27701669	239.577985	187.5232686	1037.795776	914.3089198
IDO1	312.4524995	241.0650179	20536.85787	131.5732395	1389.417624	338.8974249	26473.42255	91.36792646	164.8463693	207.8915127	269.4662793	671.6285143	667.1972433	527.4082419	345.5621343	201.7392421	248.9097098	192.0869901	241.3331484	241.4925332	183.5919996	91.27779079
MMP9	388.1056494	338.94428	2899.726139	3188.623948	635.0862911	38944.01868	2727.981464	16386.05747	12655.47888	1191.482432	335.4295326	284.1304512	688.2490954	6429.776491	357.9745698	258.4783862	395.4202673	359.6153524	286.9137339	424.4791722	338.8946519	396.8938938
IL5RA	101.5434264	122.2890422	55.86616787	51.58293868	713.1604697	36.13968537	43.73965746	22.0447246	105.6851394	154.5243618	41.02366335	44.27072755	45.67953351	256.0574097	197.2344989	43.62068846	63.93112851	26.5887412	42.9451164	32.20308963	118.4320183	103.1997215
HRH1	165.4581351	206.5394742	128.2673018	202.5321442	81.41713941	217.6585736	145.2834807	2195.073255	116.6680467	119.1113422	72.1745748	42.47010982	54.07639831	227.8748322	161.4809975	284.8186666	101.1491714	26.48229454	75.97436695	78.2920509	212.4319062	108.9553664
CMA1	68.10609278	77.95639785	53.12239382	44.7774243	164.6813549	46.37300953	65.76280884	64.11513732	1622.195863	1378.879998	58.76829357	53.020637	57.33259038	48.25538871	75.6389405	76.31621718	46.6365232	42.09518393	25.22954469	29.75313496	77.40398982	40.08632954
CCR5	93.00951267	98.76355416	624.5662045	1515.597414	130.089752	2191.941547	1493.347557	787.3000077	260.5538316	149.3747509	489.987509	1425.773385	578.4832233	85.86154472	46.81934	423.3973006	462.1524294	75.4038863	992.0442583	530.4856724	2444.179396	503.0168012
KLRB1	241.3252476	119.5727193	37.00213293	94.79879985	276.4397193	26.68511703	33.3990692	13.5124231	72.13784357	37.48705237	90.24623781	5576.724303	12957.39238	322.6159656	39.37347577	500.6894521	10026.23944	317.5656356	8818.269216	4477.729529	12634.61161	1259.996581
EPN2	42.21678294	46.90834881	31.56870199	59.13787146	554.8063768	32.22402237	30.74111032	22.48126594	70.25798406	43.97341673	32.43586908	27.97705381	31.97660478	51.26114266	109.4328043	50.11843442	96.20392388	64.62199466	31.50834858	55.41158071	62.36421567	17.84892932
CD1A	818.7834717	1294.174017	1315.229715	14772.22773	260.6061886	224.9858071	160.945247	156.9391502	174.7119173	110.8168315	312.0225877	145.9248694	152.5357864	419.7944138	504.0040168	139.7165139	191.4053509	135.3722907	208.3949257	156.4816454	265.2998497	511.8243369
CD19	5295.93686	7315.689158	161.3344231	122.9982229	393.1656925	98.83889476	106.4449014	146.6235694	130.640189	121.1411991	164.9026221	98.40190703	90.4860579	257.8963108	1743.474914	93.42592839	55.61361754	128.2039752	132.2416591	148.8556127	147.7927672	217.5476871
CCL13	171.4302952	195.3507704	5513.790278	3717.503489	121.9773443	166.9319287	182.2839096	6581.432651	675.8697907	101.0268889	87.08769892	96.66643251	95.02050924	105.3162645	101.3596853	66.04578922	118.4029297	41.65976896	120.948249	12.70708557	72.33766521	75.51129905
FCGR2B	4533.908058	3389.8606	137.2036108	1529.233028	645.9279905	991.9681697	311.314882	1548.943526	1610.39688	626.9589967	287.6388369	181.4820226	119.9451162	1302.127371	2656.037745	59.92126523	30.69853755	8.255798098	65.97309417	108.5578105	121.0118537	127.1097924
CASP5	25.41117138	16.22879037	52.52248298	21.43059083	59.19731483	50.41398411	518.0757148	31.73041766	70.37132603	9.129396815	120.1766089	57.15128061	35.16192527	483.5047319	7.489070848	7.44133492	9.073509293	11.62316713	20.72194816	44.6725684	13.78588342	117.8506598
CSF2	18.24411695	24.24874392	38.03034172	34.06423073	20.96429003	28.52989192	18.82453343	16.29360796	1722.887037	29.73723499	27.09459243	741.3146239	47.27814858	19.5960694	43.36581215	1283.451966	25.87142267	40.95236426	24.4197256	22.7587994	62.26959997	16.26218479
CLEC2D	595.0445595	1012.819733	2002.179445	66.49062417	92.59123087	78.64035879	1465.741277	187.9865712	41.11000417	45.51634127	93.13451585	344.4100434	979.2239401	68.77784236	134.5503286	1875.9525	1711.865828	1443.461253	1510.850313	1689.599596	332.2360807	2808.690677
RGS1	246.271589	180.1991847	3515.825678	62.10361148	6082.807012	147.1485549	184.9939733	63.8234625	474.484624	507.2404796	64.44174947	255.510178	147.0419785	111.3503483	742.0017818	1321.498692	1496.611591	215.6731441	646.7216655	1981.049393	110.3073506	1384.645326
CR2	559.6347831	1471.268235	51.3593367	16.28183461	122.0795542	27.25115703	55.67688175	39.48271435	16.32654871	16.71082041	35.1557773	64.40632604	25.27012551	33.0622167	139.9135207	17.8883765	67.24739132	285.69747	245.2703384	25.49933683	22.26236223	25.46161624
IL17A	31.66676526	24.10976356	8.556203816	7.653355249	8.063350097	7.622591789	11.84351258	5.797213647	20.20321364	12.06834847	7.929351943	8.087608443	9.511607877	39.5476383	13.1991983	294.032794	6.560415317	6.547727883	7.018701499	69.2200367	18.32724833	11.18736285
FRMD4A	73.55800845	57.81750686	57.27849364	229.1834068	76.09249167	161.857003	256.1732314	1094.097795	57.91160526	43.95612501	52.74025927	43.21756185	46.14200777	21.62064394	17.18073516	48.33458991	71.89460431	24.03797283	49.31923782	211.2458646	23.15443689	38.98612196
CD86	599.8609321	354.7433616	4490.947531	1729.206247	107.8833958	764.4811798	1444.502959	2791.659069	203.6194781	161.7655034	1398.4001	87.77041198	110.1384066	161.5053365	309.4183226	90.30112485	95.47693449	35.145174	108.8922088	29.58459024	341.3536821	176.4166456
CXCL9	438.2088306	597.5841917	2918.819703	179.9813131	193.9209434	168.4971354	38944.01868	199.4359175	99.76021313	123.5555835	265.0825127	590.3615841	186.9242102	403.0543959	268.3992061	259.4612394	151.5042347	77.45884479	125.8362376	143.5770588	220.9114526	159.2182742
KIR2DL1	5.157127328	7.406441697	7.023482621	4.531899492	7.453176714	4.751833847	8.603842518	8.522115249	25.65281368	30.90286056	5.116435124	532.2521388	281.9844186	12.34421311	4.493181638	4.126234993	6.332890006	12.79241876	8.01647279	6.198523194	24.17768826	24.55389477
HCK	489.3443473	273.5706061	3772.369126	4370.59343	3730.856433	3576.179245	8146.586422	4811.755806	834.9287387	616.1411859	7368.002228	184.1658664	391.7033029	7443.161769	130.5834263	81.79892574	80.31784648	107.2851313	106.4569423	43.76861448	737.406205	75.08844559
SH2D1A	23.74579306	30.86641388	27.6285163	16.51251838	29.31150533	17.33796088	17.53465103	11.39071505	43.95158903	22.17158328	18.41801556	844.7081417	1296.002366	41.8750989	17.02062149	1484.478664	1354.892078	910.0374967	1249.210018	2984.358981	1522.337958	2057.444392
IL2RB	1945.518804	2118.459057	366.1434094	246.8795571	381.1943018	294.5506048	221.9788101	172.9682935	442.6048403	341.9687806	321.9612928	19190.61594	18026.39249	1044.851269	848.6873784	7562.491571	2988.605281	818.7927424	4000.216538	7279.249666	10958.76994	12662.47545
LAT	133.1507052	157.4129632	218.7467931	205.2650782	405.7028156	603.6863585	162.813157	181.9526719	2477.465096	3738.758621	239.5833162	1262.245177	1722.578313	209.6546017	111.4231016	1447.742457	3282.260737	5669.605245	3224.978584	8480.619457	2738.316414	3200.697142
TSHR	17.26446055	19.81562324	22.62901303	19.79865996	17.61165132	15.60070061	9.442115885	7.808323788	9.980145399	20.59108368	14.29339998	12.75467855	20.15779147	18.38429613	95.35040447	7.644655016	13.71677829	11.34522644	11.64652927	236.3005486	15.28593998	11.89081812
TLR2	113.709418	81.54272739	487.1255361	1202.759716	118.7000496	793.699493	4668.361682	3071.447657	1591.232654	680.7876421	4560.185304	140.2158809	138.3345347	5374.798483	115.9850691	102.0859478	126.8421582	135.7286165	120.5282543	151.8480214	438.5864476	81.98559599
CD3D	174.4025802	103.2248459	132.5505719	106.1967153	795.027696	74.30949816	26.01377304	12.22050099	13.20972496	40.77673955	79.18206065	243.8532814	250.8695535	250.9974436	88.37677893	7456.754789	12009.36242	14916.803	14396.85632	18921.47848	11894.34724	12721.06851
